dataset,gpu,ngpu,method,feat_dim,N,M,part_s,step_ms,peak_mb_max,halo_rows,exchange_ms,compute_ms,maxdiff,same_result,xmode,status,note
wiki-talk,NVIDIA RTX 6000 Ada Generation,2,metis-aware,256,1140149,7833140,3.71,50.61,2803.8,430693,41.93,15.53,7.033348083496094e-06,True,direct,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,2,zord-polish,256,1140149,7833140,4.97,37.17,2755.4,476781,25.97,11.34,8.821487426757812e-06,True,direct,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,8,metis-aware,256,1140149,7833140,5.57,44.32,1049.2,914284,56.58,7.51,7.510185241699219e-06,True,direct,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,8,zord-polish,256,1140149,7833140,7.26,36.98,787.0,999645,35.16,3.93,7.271766662597656e-06,True,direct,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,2,metis-aware,256,2601977,63497050,33.82,103.76,6420.1,1128145,63.08,49.6,2.7418136596679688e-06,True,direct,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,2,zord-polish,256,2601977,63497050,45.21,100.84,6406.9,1067689,54.8,46.29,2.86102294921875e-06,True,direct,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,8,metis-aware,256,2601977,63497050,52.38,157.62,2390.7,4480250,159.9,17.82,2.6226043701171875e-06,True,direct,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,8,zord-polish,256,2601977,63497050,70.03,142.25,2106.7,4429582,130.13,11.92,3.337860107421875e-06,True,direct,OK,
