dataset,gpu,ngpu,method,feat_dim,N,M,part_s,step_ms,peak_mb_max,halo_rows,maxdiff,same_result,status,note
stackoverflow,NVIDIA H100 80GB HBM3,2,zord-mc-aware,256,2601977,63497050,37.1,41.05,6724.2,1238775,2.86102294921875e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,2,zord-stream-aware,256,2601977,63497050,1.93,62.51,7743.1,1740143,3.0994415283203125e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,2,zord-stream-mem,256,2601977,63497050,2.37,39.59,6481.8,1235890,3.2186508178710938e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,2,tensor-split,256,2601977,63497050,0.0,25.79,5355.8,0,1.7285346984863281e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,4,hash,256,2601977,63497050,0.01,51.07,4161.4,4932466,1.996755599975586e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,4,metis-aware,256,2601977,63497050,43.21,34.39,3635.7,2574855,3.0994415283203125e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,4,zord-mc-aware,256,2601977,63497050,36.95,42.98,4225.0,3045555,2.562999725341797e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,4,zord-stream-aware,256,2601977,63497050,2.09,61.77,5631.8,3017470,3.0994415283203125e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,4,zord-stream-mem,256,2601977,63497050,2.54,43.89,3979.1,3271322,2.384185791015625e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,4,tensor-split,256,2601977,63497050,0.0,20.01,3452.3,0,4.172325134277344e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,8,hash,256,2601977,63497050,0.01,64.37,2546.6,8470968,2.7418136596679688e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,8,metis-aware,256,2601977,63497050,51.1,41.89,2258.8,4480250,3.6954879760742188e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,8,zord-mc-aware,256,2601977,63497050,41.4,50.6,3034.5,4856375,2.7418136596679688e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,8,zord-stream-aware,256,2601977,63497050,2.32,67.26,4358.4,4461183,2.1457672119140625e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,8,zord-stream-mem,256,2601977,63497050,2.73,49.56,2218.0,5333638,3.6954879760742188e-06,True,OK,
stackoverflow,NVIDIA H100 80GB HBM3,8,tensor-split,256,2601977,63497050,0.0,17.83,2498.3,0,2.2649765014648438e-06,True,OK,
