dataset,gpu,ngpu,method,feat_dim,N,M,part_s,step_ms,peak_mb_max,halo_rows,maxdiff,same_result,status,note
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,1,single,256,9227,157474,0.31,0.2,39.9,0,1.9073486328125e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,2,hash,256,9227,157474,0.0,0.83,23.0,5941,2.1457672119140625e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,2,metis-aware,256,9227,157474,0.17,0.52,21.1,1808,2.6226043701171875e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,2,zord-mc-aware,256,9227,157474,0.1,0.53,22.4,1934,2.384185791015625e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,2,zord-stream-aware,256,9227,157474,0.06,0.79,23.1,5459,3.0994415283203125e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,4,hash,256,9227,157474,0.0,1.76,12.9,11436,3.0994415283203125e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,4,metis-aware,256,9227,157474,0.04,1.55,11.2,3876,2.5033950805664062e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,4,zord-mc-aware,256,9227,157474,0.08,1.56,11.8,4005,2.384185791015625e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,4,zord-stream-aware,256,9227,157474,0.04,1.67,13.5,10517,2.384185791015625e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,8,hash,256,9227,157474,0.0,10.31,7.4,16669,2.6226043701171875e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,8,metis-aware,256,9227,157474,0.05,6.03,6.3,5973,2.6226043701171875e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,8,zord-mc-aware,256,9227,157474,0.1,6.03,6.6,6187,2.6226043701171875e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 6000 Ada Generation,8,zord-stream-aware,256,9227,157474,0.05,9.85,7.5,15314,1.9073486328125e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,1,single,256,1140149,7833140,0.01,27.29,4662.4,0,9.059906005859375e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,2,hash,256,1140149,7833140,0.0,73.74,2699.2,702182,9.298324584960938e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,2,metis-aware,256,1140149,7833140,3.71,52.15,2802.8,430693,7.62939453125e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,2,zord-mc-aware,256,1140149,7833140,1.27,51.0,2812.8,416458,8.58306884765625e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,2,zord-stream-aware,256,1140149,7833140,0.29,60.82,2917.7,538487,8.344650268554688e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,4,hash,256,1140149,7833140,0.01,105.87,1539.8,1255532,7.3909759521484375e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,4,metis-aware,256,1140149,7833140,4.8,68.93,1664.9,717789,4.827976226806641e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,4,zord-mc-aware,256,1140149,7833140,1.36,76.78,1602.7,804639,4.172325134277344e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,4,zord-stream-aware,256,1140149,7833140,0.33,82.97,2039.4,837559,8.344650268554688e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,8,hash,256,1140149,7833140,0.0,140.05,872.8,1696391,6.198883056640625e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,8,metis-aware,256,1140149,7833140,5.62,83.99,971.7,914284,8.344650268554688e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,8,zord-mc-aware,256,1140149,7833140,1.42,87.74,1223.2,1032051,8.58306884765625e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,8,zord-stream-aware,256,1140149,7833140,0.41,105.08,1575.1,1005738,7.152557373046875e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,1,single,256,2601977,63497050,0.02,108.72,11709.1,0,3.0994415283203125e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,2,hash,256,2601977,63497050,0.01,235.65,6908.2,2122637,3.337860107421875e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,2,metis-aware,256,2601977,63497050,33.21,149.24,6420.1,1128145,3.0994415283203125e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,2,zord-mc-aware,256,2601977,63497050,77.58,175.68,7390.6,1333333,2.3245811462402344e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,2,zord-stream-aware,256,2601977,63497050,2.0,225.7,7743.1,1740143,2.205371856689453e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,4,hash,256,2601977,63497050,0.01,407.2,4161.4,4932466,2.2649765014648438e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,4,metis-aware,256,2601977,63497050,43.94,230.82,3635.7,2574855,2.3245811462402344e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,4,zord-mc-aware,256,2601977,63497050,79.82,234.11,4072.4,2593706,2.5033950805664062e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,4,zord-stream-aware,256,2601977,63497050,2.17,310.1,5631.8,3017470,2.6226043701171875e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,8,hash,256,2601977,63497050,0.01,888.73,2546.6,8470968,2.682209014892578e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,8,metis-aware,256,2601977,63497050,51.67,490.05,2258.8,4480250,2.4437904357910156e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,8,zord-mc-aware,256,2601977,63497050,81.68,561.5,2648.4,5124866,2.4437904357910156e-06,True,OK,
stackoverflow,NVIDIA RTX 6000 Ada Generation,8,zord-stream-aware,256,2601977,63497050,2.42,589.16,4358.4,4461183,3.337860107421875e-06,True,OK,
