dataset,gpu,ngpu,method,feat_dim,N,M,part_s,step_ms,peak_mb_max,halo_rows,exchange_ms,compute_ms,maxdiff,same_result,status,note
wiki-talk,NVIDIA RTX 6000 Ada Generation,8,metis-aware,256,1140149,7833140,5.68,84.0,972.7,914284,101.3,10.95,9.5367431640625e-06,True,OK,
wiki-talk,NVIDIA RTX 6000 Ada Generation,8,zord-polish,256,1140149,7833140,6.93,77.88,846.5,896045,75.2,4.13,7.62939453125e-06,True,OK,
